XPATH;ORIGINALTXT;TRANSLATEDTXT
"//catalog/category[attribute::category-id=""manucure-et-pedicure""]/custom-attributes/custom-attribute[attribute::attribute-id=""headerMenuBanner""]";Sublimez vos mains et vos pieds grâce à nos kits manucure/pédicure!<br/>Obtenez chez vous une peau douce et souple comme à l'institut.;¡Consigue unas manos y unos pies perfectos gracias a nuestros kits de manicura/pedicura!<br/>Logra en tu casa una piel suave y flexible como en un centro de belleza.
"//catalog/category[attribute::category-id=""manucure-et-pedicure""]/display-name[attribute::xml:lang=""fr-FR""]";Manucure et pédicure;Manicura y pedicura
"//catalog/category[attribute::category-id=""manucure-et-pedicure""]/page-attributes/page-description[attribute::xml:lang=""fr-FR""]";Découvrez nos kits Manucure - Pédicure : coupe ongles, rape pied électrique, coupe cuticule, limes à ongles - L'essentiel pour des mains et des pieds doux !;Descubre nuestros kits de Manicura - Pedicura: cortaúñas, lima para pies eléctrica, cortacutículas, limas de uñas - ¡Lo esencial para unas manos y unos pies suaves!
"//catalog/category[attribute::category-id=""manucure-et-pedicure""]/page-attributes/page-title[attribute::xml:lang=""fr-FR""]";Manucure - Pédicure : découvrez notre gamme - BaByliss Paris;Manicura - Pedicura: descubre nuestra gama - BaByliss Paris
"//catalog/category[attribute::category-id=""mini""]/display-name[attribute::xml:lang=""fr-FR""]";Les Minis électriques;Aparatos eléctricos mini
"//catalog/category[attribute::category-id=""mini""]/page-attributes/page-title[attribute::xml:lang=""fr-FR""]";Découvrez les minis électriques;Descubre nuestro productos eléctricos en miniatura
"//catalog/category[attribute::category-id=""miroir""]/display-name[attribute::xml:lang=""fr-FR""]";Miroirs;Espejos
"//catalog/category[attribute::category-id=""miroir""]/page-attributes/page-description[attribute::xml:lang=""fr-FR""]";Découvrez nos miroirs lumineux : miroir rond, miroir grossissant, miroir salle de bain -  Idéal pour le soin de la peau et le maquillage !;Descubre nuestros espejos luminosos: espejo redondo, espejo de aumento, espejo de cuarto de baño - ¡Ideal para el cuidado de la piel y el maquillaje!
"//catalog/category[attribute::category-id=""miroir""]/page-attributes/page-title[attribute::xml:lang=""fr-FR""]";Miroir : découvrez notre gamme - BaByliss Paris;Espejo: descubre nuestra gama - BaByliss Paris
"//catalog/category[attribute::category-id=""multi-styler""]/custom-attributes/custom-attribute[attribute::attribute-id=""headerMenuBanner""]";"Réinventez-vous à l'infini grâce à nos multistylers BaByliss Paris. <br/>Osez tous les styles en mixant les accessoires. Re-découvrez les bigoudis : la méthode douce<br/>
pour des boucles élégantes. Nos bigoudis chauffants sont conçus pour une pose facile <br/>et  une tenue longue durée.";"Reinvéntate hasta el infinito con nuestros multistylers BaByliss Paris <br/>Atrévete con todos los estilos mezclando los accesorios. Redescubre los rulos: el método suave<br/>
para unos rizos elegantes. Nuestros rulos térmicos están concebidos para una fácil colocación <br/>y una larga duración."
"//catalog/category[attribute::category-id=""multi-styler""]/display-name[attribute::xml:lang=""fr-FR""]";Multi stylers et bigoudis;Multistylers y rulos
"//catalog/category[attribute::category-id=""multi-styler""]/page-attributes/page-description[attribute::xml:lang=""fr-FR""]";Découvrez nos Multistyler : le Fun Style et le Style Mix - Pleins d'accessoires pour oser tous les styles !;Descubre nuestros Multistylers: Fun Style y Style Mix - ¡Con muchos accesorios para atreverte con todos los estilos!
"//catalog/category[attribute::category-id=""multi-styler""]/page-attributes/page-title[attribute::xml:lang=""fr-FR""]";Multi Styler : Découvre notre gamme - BaByliss Paris;Multistyler: Descubre nuestra gama - BaByliss Paris
"//catalog/category[attribute::category-id=""seche-cheveux""]/custom-attributes/custom-attribute[attribute::attribute-id=""headerMenuBanner""]";Envie d'un brushing comme au salon ? <br/>Découvrez nos modèles de sèche-cheveux allant des classiques, complets <br/>et personnalisables, aux professionnels qui raviront les plus exigeantes.<br/> Pour les voyageuses, nos sèche-cheveux malins et transportables<br/> vous accompagneront partout !;¿Te gustaría un cepillado como de peluquería? <br/>Descubre nuestros modelos de secador que van desde los clásicos, completos <br/>y personalizables, a los profesionales, que cumplirán con las expectativas más exigentes.<br/> Para las viajeras, nuestros secadores inteligentes y transportables<br/> ¡te acompañarán a todos los sitios!
"//catalog/category[attribute::category-id=""seche-cheveux""]/description[attribute::xml:lang=""fr-FR""]";Une coiffure pro sans bouger de chez vous;Un peinado profesional sin salir de casa
"//catalog/category[attribute::category-id=""seche-cheveux""]/display-name[attribute::xml:lang=""fr-FR""]";Les sèche-cheveux;Secadores
"//catalog/category[attribute::category-id=""seche-cheveux""]/page-attributes/page-description[attribute::xml:lang=""fr-FR""]";Découvrez nos sèches cheveux : seche cheveux professionnels, seche cheveux silencieux, seche cheveux de voyage, seche cheveux ionique... et plus encore !;Descubre nuestros secadores: secadores profesionales, secadores silenciosos, secadores de viaje, secadores iónicos... ¡y mucho más!
"//catalog/category[attribute::category-id=""seche-cheveux""]/page-attributes/page-title[attribute::xml:lang=""fr-FR""]";Sèche-cheveux : Découvrez notre gamme - BaByliss Paris;Secador: Descubre nuestra gama - BaByliss Paris
